Aisle;Block;Column;Row;Name;AbcClass;LHU1X;LHU1Y;LHU2X;LHU2Y;Height
AKL1;1;1;1;AKL1_1_1_1;A;1400;1500;1600;1700;200
AKL1;1;1;2;AKL1_1_1_2;A;1400;1500;1600;1700;200
AKL1;1;1;3;AKL1_1_1_3;A;1400;1500;1600;1700;200
AKL1;1;1;4;AKL1_1_1_4;A;1400;1500;1600;1700;200
AKL1;1;1;5;AKL1_1_1_5;A;1400;1500;1600;1700;200
AKL1;1;1;6;AKL1_1_1_6;A;1400;1500;1600;1700;200
AKL1;1;1;7;AKL1_1_1_7;A;1400;1500;1600;1700;200
AKL1;1;1;8;AKL1_1_1_8;A;1400;1500;1600;1700;200
AKL1;1;1;9;AKL1_1_1_9;A;1400;1500;1600;1700;200
AKL1;1;1;10;AKL1_1_1_10;A;1400;1500;1600;1700;200
AKL1;1;1;11;AKL1_1_1_11;A;1400;1500;1600;1700;200
AKL1;1;1;12;AKL1_1_1_12;A;1400;1500;1600;1700;200
AKL1;1;1;13;AKL1_1_1_13;A;1400;1500;1600;1700;200
AKL1;1;1;14;AKL1_1_1_14;A;1400;1500;1600;1700;200
AKL1;1;1;15;AKL1_1_1_15;A;1400;1500;1600;1700;200
AKL1;1;1;16;AKL1_1_1_16;A;1400;1500;1600;1700;200
AKL1;1;1;17;AKL1_1_1_17;A;1400;1500;1600;1700;200
AKL1;1;1;18;AKL1_1_1_18;A;1400;1500;1600;1700;200
AKL1;1;1;19;AKL1_1_1_19;A;1400;1500;1600;1700;200
AKL1;1;1;20;AKL1_1_1_20;A;1400;1500;1600;1700;200
AKL1;1;2;1;AKL1_1_2_1;A;1400;1500;1600;1700;200
AKL1;1;2;2;AKL1_1_2_2;A;1400;1500;1600;1700;200
AKL1;1;2;3;AKL1_1_2_3;A;1400;1500;1600;1700;200
AKL1;1;2;4;AKL1_1_2_4;A;1400;1500;1600;1700;200
AKL1;1;2;5;AKL1_1_2_5;A;1400;1500;1600;1700;200
AKL1;1;2;6;AKL1_1_2_6;A;1400;1500;1600;1700;200
AKL1;1;2;7;AKL1_1_2_7;A;1400;1500;1600;1700;200
AKL1;1;2;8;AKL1_1_2_8;A;1400;1500;1600;1700;200
